NAMC_ID,NAMC_CODE,tamil_term,namc_term_word,short_definition,definition,section
1205,SAK1.2,புய மேல் நடுக்கு வர்மம்,Puya Mēl Naṭukku Varmam,Injury to Puya mael nadukku varmam,Injury to this varmam is characterised by pain in shoulders and upper limbs. If fracture occurs it takes 41 days to heal.,Siddha
1206,SAK1.3,புய கீழ் நடுக்கு வர்மம்,Puya Kīẕ Naṭukku Varmam,Injury to Puya keel nadukku varmam,Injury to this varmam is characterised by pain in distal arm. If fracture occurs it takes 41 days to heal.,Siddha
1207,SAL,முழங்கையில் காணும் வர்ம அடிகள்,Muẕaṅkaiyil Kāṇum Varma Aṭikaḷ,-,-,Siddha
1208,SAL1.1,முழங்கை நடுக்கு வர்மம்,Muẕaṅkai Naṭukku Varmam,Injury to Muzhangai nadukku varmam,"Injury to this varmam is characterised by rigiditty of body, fits, fever with chills and rigor, delerium, syncope, heat in forehead, pain in elbow, cough, wheeze. If fracture occurs swelling in elbow occurs. Death results in 12 days.",Siddha
1209,SAL1.2,முழங்கை மேல் நடுக்கு வர்மம்,Muẕaṅkai Mēl Naṭukku Varmam,Injury to Muzhangai mael nadukku varmam,"Injury to this varmam is characterised by stiffness of thumb, swelling, expulsion of semen, tremors, fever with chills. If fracture occurs it remains incurable upto 288 minutes. It takes 41 days for complete cure.",Siddha
1210,SAL1.3,முழங்கை கீழ் நடுக்கு வர்மம்,Muẕaṅkai Kīẕ Naṭukku Varmam,Injury to Muzhangai keel nadukku varmam,"Injury to this varmam is characterised by pain in elbow, swelling, fatigue and delerium.",Siddha
1211,SAL1.4,நாடி சூத்திர வர்மம்,Nāṭi Cūttira Varmam,Injury to Naadi soothira varmam,"Injury to this varmam is characterised by vertigo, sweating, syncope and delerium.",Siddha
1212,SAM,முழங்கை முட்டில் காணும் வர்ம அடிகள்,Muẕaṅkai Muṭṭil Kāṇum Varma Aṭikaḷ,-,-,Siddha
1213,SAM1.1,முழங்கை முட்டு பதைப்பு வர்மம்,Muẕaṅkai Muṭṭu Pataippu Varmam,Injury to Muzhangai mutu pathaippu varmam,"Injury to this varmam is characterised by pain in medial aspect of arm, forearm, elbow swelling in forearm and paralysis of little fingers and ring finger.",Siddha
1214,SAM1.2,முழங்கை முட்டு புறதாரை விசை நரம்பு வர்மம்,Muẕaṅkai Muṭṭu Puṟatārai Vicai Narampu Varmam,Injury to Muzhangai mutu purathaarai visai narambu varmam,Injury to this varmam is characterised by pain and swelling in elbow and difficulty to extend the forearm.,Siddha
1215,SAM1.3,முழங்கை முட்டு மொழிப்பொருத்து வர்மம்,Muẕaṅkai Muṭṭu Moẕipporuttu Varmam,Injury to Muzhangai mutu mozhi poruthu varmam,"Injury to this varmam is characterised by swelling of arms, fatigue forearm and pricking pain in elbow.",Siddha
1216,SAM1.4,முழங்கை முட்டு கை மண்டை வர்மம்,Muẕaṅkai Muṭṭu Kai Maṇṭai Varmam,Injury to Muzhangai mutu kai mandai varmam,"Injury to this varmam is characterised by tingling sensation in hands, numbness, pain and swelling, spasm of upper limbs, elbow dislocation, diffiuclty to flex the elow and anemia.",Siddha
1217,SAN,கையில் காணும் வர்ம அடிகள்,Kaiyil Kāṇum Varma Aṭikaḷ,-,-,Siddha
1218,SAN1.1,கை பெருவிரல் மொழி பொருத்து வர்மம்,Kai Peruviral Moẕi Poruttu Varmam,Injury to Kai peru viral mozhi poruthu varmam,"Injury to this varmam is characterised by pain in thumb, swelling of metacarpo phalangeal joints along the lateral aspect and dislocation.",Siddha
1219,SAN1.2,கை பெருவிரல் பதக்களை வர்மம்,Kai Peruviral Patakkaḷai Varmam,Injury to Kai peru viral pathakkalai varmam,"Injury to this varmam is characterised by pain in hand and thumb, swelling and dislocation of meta carpo phalangeal joint of thumb.",Siddha
1220,SAN1.3,கை பெருவிரல் அக புறதாரை வர்மம்,Kai Peruviral Aka Puṟatārai Varmam,Injury to Kai peru viral aga puratharai varmam,"Injury to this varmam is characterised by palms, swelling of joints of thumb and dislocation of metacarpo phalangeal joints.",Siddha
1221,SAN1.4,சொர்ண வெற்றிலை வர்மம்,Corṇa Veṟṟilai Varmam,Injury to Sorna vettrilai varmam,"Injury to this varmam is characterised by opening of tightened fist, pain and swelling in upper limbs, diminished action of fingers, swelling of extensor aspect of upper limb",Siddha
1222,SAN1.5,கை நெருக்கு வர்மம்,Kai Nerukku Varmam,Injury to Kai nerukku varmam,Injury to this varmam is characterised by diminusion of little and middle fingers and swelling of hands.,Siddha
1223,SAN1.6,கை கவளி வர்மம்,Kai Kavaḷi Varmam,Injury to Kai kavali varmam,"Injury to this varmam is characterised by spreading of pain from hands to head like toxin, swelling numbness, mild fever on 3rd day of injury, on later stage it results in absces, cracks and ulcers in palms. If fracture occurs it leads to delerium and dea",Siddha
1224,SAO,மணிக்கட்டில் காணும் வர்ம அடிகள்,Maṇikkaṭṭil Kāṇum Varma Aṭikaḷ,-,-,Siddha
1225,SAO1.1,கோழிக்கழுத்து வர்மம்,Kōẕikkaẕuttu Varmam,Injury to Kozhi kazhuththu varmam,"Injury to this varmam is characterised by swelling of wrist joint, pain and swelling in hands, dislocation of wrist and fracture of wrist",Siddha
1226,SAO1.2,கோழிக்கழுத்து கண்ணு வர்மம்,Kōẕikkaẕuttu Kaṇṇu Varmam,Injury to Kozhi kazhuththu kannu varmam,"Injury to this varmam is characterised by pain in wrist joint, fatigue of upper limbs, dislocation of wrist and difficulty to flex the fingers.",Siddha
1227,SAO1.3,கோழிக்கழுத்து அக புறதாரை வர்மம்,Kōẕikkaẕuttu Aka Puṟatārai Varmam,Injury to Kozhi kazhuththu aga puratharai varmam,"Injury to this varmam is characterised by palpitation, sprain in wrist joint, stiffness of hand, swelling of joint with fluid accumulation, weakness, fatigue of upper limb, chillness of body, sweating, delerium, increased phlegm, dislocation of wrist, imm",Siddha
1228,SB,ஒடிவு முறிவு,Oṭivu Muṟivu,Fractures,-,Siddha
1229,SBA,கை காயங்கள்,Kai Kāyaṅkaḷ,Injuries of the Hand,-,Siddha
1230,SBA1,தோள் பகுதி காயங்கள்,Tōḷ Pakuti Kāyaṅkaḷ,Shoulder injuries,-,Siddha
1231,SBA1.1,காரை எலும்பு முறிவு,Kārai Elumpu Muṟivu,Fracture of clavicle,"A break in the clavicle is caused by direct injury on the bone or by fall on out-stretched hand characterised by pain and swelling at the fracture site, difficulty in raising the affected side arm and holding the affected arm in flexed elbow position",Siddha
1232,SBA1.2,சிப்பி மொழி காரை பொருத்து காயங்கள்,Cippi Moẕi Kārai Poruttu Kāyaṅkaḷ,Injuries to acromio-clavicular joint,"A subluxation or dislocation of acromio-clavicular joint is caused by injury to outer prominence or by fall on out-stretched hand, characterised by pain and swelling at acromio-clavicular joint and patient will hold the affected arm in flexed elbow positi",Siddha
1233,SBA1.3,நெஞ்சு – காரை பொருத்து காயங்கள்,Neñcu - Kārai Poruttu Kāyaṅkaḷ,Injuries to sterno clavicular joint,"A subluxation or dislocation of sterno-clavicular joint is caused by direct injury or heavy force applied from shoulder when lying in lateral position, characterised by pain and swelling at the fracture site, protrusion of clavicle at fracture site and fl",Siddha
1234,SBA1.4,சிப்பி எலும்பு முறிவு,Cippi Elumpu Muṟivu,Injuries and fractures to Scapula,"A break in scapula is caused by direct injury on bone or by fall on outstretched hand, characterised pain and swelling at the fracture site, patient will hold the affected side hand close to chest in flexed elbow position and pain while lifting the affect",Siddha
1235,SBA1.5,தோள்பொருத்து விலகல்,Tōḷporuttu Vilakal,Dislocation of scapula,Dislocation of scapula,Siddha
1236,SBA1.5.1,தோள்பொருத்து முன் விலகல்,Tōḷporuttu Muṉ Vilakal,Anterior dislocation of shoulder joint,": A dislocation of shoulder joint in anterior side is caused by falling with abducted, external rotated, out-stretched hand, characterised by severe pain and inability to use affected hand, patient will hold the hand in abduction and external rotation pos",Siddha
1237,SBA1.5.2,அடிக்கடி நிகழும் முன்பக்க தோள்பொருத்து முன் விலகல்,Aṭikkaṭi Nikaẕum Muṉpakka Tōḷporuttu Muṉ Vilakal,Recurrent anterior dislocation of shoulder joint,It is characterised by recurrent dislocation of shoulder joint in anterior side caused by lack of immobilisation and weakness of shoulder muscles.,Siddha
1238,SBA1.5.3,தோள்பொருத்து பின் விலகல்,Tōḷporuttu Piṉ Vilakal,Posterior dislocation of shoulder joint,"The dislocation of shoulder joint on posterior side caused by falling in flexed and adduction of hand. It is characterised by severe pain, patient will hold the affected hand in adduction position wit other hand, flattening of anterior side of shoulder, p",Siddha
1239,SBA1.5.4,தோள்பொருத்து கீழ் விலகல்,Tōḷporuttu Kīẕ Vilakal,Inferior dislocation of shoulder joint,The dislocation of shoulder joint on inferior side caused by hyper abduction and extension of shoulder and characterised by protrusion of humerus head below glenoid cavity.,Siddha
1240,SBA1.6,புய எலும்பின் மேல்முனை முறிவுகள்,Puya Elumpiṉ Mēlmuṉai Muṟivukaḷ,Proximal humeral fracture,"A break in proximal part of humerus caused by falling in out-stretched hand, injury to lateral side of humerus. It is characterised by pain and swelling in affected site, restricted shoulder movements",Siddha
1241,SBA2,புய காயங்கள்,Puya Kāyaṅkaḷ,Injuries of the arm,-,Siddha
1242,SBA2.1,புய எலும்பின் தண்டுப் பகுதி முறிவுகள்,Puya Elumpiṉ Taṇṭup Pakuti Muṟivukaḷ,Fracture of the shaft of the humerus,"A break in the shaft of the Humreus caused by falling in out-stretched hand and direct injury. It is characterised by pain and swelling at fracture site, abnormal mobility in upper arm, if fracture at spiral groove can cause wrist drop.",Siddha
1243,SBA3,முழங்கை மூட்டுப் பகுதி காயங்கள்,Muẕaṅkai Mūṭṭup Pakuti Kāyaṅkaḷ,Injuries around the elbow,-,Siddha
1244,SBA3.1,புய எலும்பின் கீழ் முனை முறிவுகள்,Puya Elumpiṉ Kīẕ Muṉai Muṟivukaḷ,Fractures of distal end of humerus,"A break in the distal end of humerus caused by falling on outstretched hand with hyerextension. It is characterised by pain and swelling in elbow, tenderness, restricted movements, shortening of upper arm, but no change in forearm length, maintaining tria",Siddha
1245,SBA3.2,முழங்கைமூட்டு விலகல்,Muẕaṅkaimūṭṭu Vilakal,Disclocation of the elbow joint,-,Siddha
1246,SBA3.2.1,எளிய முழங்கை முட்டு விலகல்,Eḷiya Muẕaṅkai Muṭṭu Vilakal,simple elbow dislocation,"A dislocation of elbow on anterior or posterior lateral, postero-medial, medial, posterior, lateral or divergent side caused by falling on flexed elbow position.",Siddha
1247,SBA3.2.2,முழங்கை முட்டு முறிந்து விலகல்,Muẕaṅkai Muṭṭu Muṟintu Vilakal,Elbow fracture – dislocation,"A dislocation to elbow along with fragment fracture of associated bone in elbow. It is characterised by pain and swelling in affected site, altered relationship of bony triangle",Siddha
1248,SBA3.3,இழுப்பட்ட முழங்கைமூட்டு,Iẕuppaṭṭa Muẕaṅkaimūṭṭu,Pulled elbow,"A dislocation of radial head caused by pulling of elbow. It is characterised by pain and swelling in affected site, difficult to lift the hand, tenderness over radial side of elbow",Siddha
1249,SBA3.4,இரத்தினி எலும்பின் மேல் - முனை முறிவுகள்,Irattiṉi Elumpiṉ Mēl - Muṉai Muṟivukaḷ,Fracture of proximal end of ulna,"A break in olecranon process caused by direct injury and severe contractions of triceps. It is characterised by pain and swelling in affected site, tenderness, crepitus and difficult in extension of elbow.",Siddha
1250,SBA3.5,ஆரை எலும்பின் மேல் முனை முறிவுகள்,Ārai Elumpiṉ Mēl Muṉai Muṟivukaḷ,Fractures of the proximal end of the radius,A break in the head of the radius or neck of the radius caused by direct injury and falling on out-stretched hand. It is characterised by pain and swelling in elbow,Siddha
1251,SBA4,முழங்கை காயங்கள்,Muẕaṅkai Kāyaṅkaḷ,Injuries of the forearm,-,Siddha
1252,SBA4.1,ஆரை மற்றும் இரத்தினி - இரு எலும்புத்தண்டு முறிவுகள்,Ārai Maṟṟum Irattiṉi - Iru Elumputtaṇṭu Muṟivukaḷ,Fracture of shaft of forearm,"A break in shaft of both ulna and radius caused by falling on out strectched hand, direct injury characterised by pain, swelling of affected site, restricted movements of elbow.",Siddha
1253,SBA4.2,ஆரை எலும்புத்தண்டு முறிவு,Ārai Elumputtaṇṭu Muṟivu,Fracture of the radial shaft,A break in shaft of radius,Siddha
1254,SBA4.3,இரத்தினி எலும்புத்தண்டு முறிவு,Irattiṉi Elumputtaṇṭu Muṟivu,Fracture of shaft of ulna,A break in the shaft of ulna,Siddha
1255,SBA4.4,கோழிக்கழுத்து முறிவு,Kōẕikkaẕuttu Muṟivu,Colles fracture,"A break in lower end of radius bone caused by falling on outstretched hand with dorsiflexion characterised by pain and swelling at affected site, deformity of wrist.",Siddha
1256,SBA5,மணிக்கட்டு காயங்கள்,Maṇikkaṭṭu Kāyaṅkaḷ,Injuries of the wrist,-,Siddha
1257,SBA5.1,படகு எலும்பு முறிவு,Paṭaku Elumpu Muṟivu,Scaphoid fracture:,A break in the Scaphoid bone,Siddha
1258,SBA5.2,பிறை எலும்பு முறிவு,Piṟai Elumpu Muṟivu,Lunate fracture:,A break in the lunate bone,Siddha
1259,SBA5.3,முக்கோண எலும்பு முறிவு,Mukkōṇa Elumpu Muṟivu,Triquetral fracture,A break in the triquetral bone,Siddha
1260,SBA5.4,பட்டாணி எலும்பு முறிவு,Paṭṭāṇi Elumpu Muṟivu,Pisiform fracture,A break in the pisiform bone,Siddha
1261,SBA5.5,கொக்கி எலும்பு முறிவு,Kokki Elumpu Muṟivu,Hamate fracture,A break in the hamate bone,Siddha
1262,SBA5.6,உருள் தலை எலும்பு முறிவு,Uruḷ Talai Elumpu Muṟivu,Capitate fracture,A break in the capitate bone,Siddha
1263,SBA5.7,நாற்சதுர எலும்பு முறிவு,Nāṟcatura Elumpu Muṟivu,Trapezoid fracture,A break in the trapezoid bone,Siddha
1264,SBA5.8,இருசரிவு நாற்சிறை எலும்பு முறிவு,Irucarivu Nāṟciṟai Elumpu Muṟivu,Trapezium fracture,A break in the trapezium bone,Siddha
1265,SBA6,அங்கை காயங்கள்,Aṅkai Kāyaṅkaḷ,Injuries of the hand,-,Siddha
1266,SBA6.1,கரப எலும்புகளின் முறிவுகள்,Karapa Elumpukaḷiṉ Muṟivukaḷ,Fractures of the metacarpal,"A break in head, neck, shaft and distal end of metacarpal bone",Siddha
1267,SBA6.2,விரல் எலும்புகளின் முறிவுகள்,Viral Elumpukaḷiṉ Muṟivukaḷ,Fractures of the phalanges,"A break in head, neck, shaft and distal end of phalanges.",Siddha
1268,SBB,கால் காயங்கள்,Kāl Kāyaṅkaḷ,Injuries to the lower limb,-,Siddha
1269,SBB1,இடுப்புப் பகுதி காயங்கள்,Iṭuppup Pakuti Kāyaṅkaḷ,Injuries around the hip,-,Siddha
1270,SBB1.1,இடுப்புப் பொருத்து விலகல்,Iṭuppup Poruttu Vilakal,Dislocation of the hip joint,"A dislocation of head of femur from acetabulum in posterior, anterior and central side caused by dashboard injury. It is characterized by pain and swelling in affected side, shortening of leg, protrusion of femoral head in buttocks leading to sciatic nerv",Siddha
1271,SBB1.2,தொடை எலும்பின் தலைப்பகுதி முறிவு,Toṭai Elumpiṉ Talaippakuti Muṟivu,Fracture of the femoral head,A break in head of femur caused by pressure by axial load.,Siddha
1272,SBB1.3,தொடை எலும்பின் கழுத்துப்பகுதி முறிவு,Toṭai Elumpiṉ Kaẕuttuppakuti Muṟivu,Fracture of the neck of the femur,"A break in the neck of the femur caused by falling on lateral side hitting greater trochanter characterized by pain and swelling in hip, inability to walk, protrusion of greater trochanter",Siddha
1273,SBB1.4,தொடை எலும்பின் மேல் முனை முறிவுகள்,Toṭai Elumpiṉ Mēl Muṉai Muṟivukaḷ,Proximal femur fractures,A break in proximal end of femur,Siddha
1274,SBB2,தொடை காயங்கள்,Toṭai Kāyaṅkaḷ,Injuries of the thigh,-,Siddha
1275,SBB2.1,தொடை எலும்பு தண்டு முறிவு,Toṭai Elumpu Taṇṭu Muṟivu,Fracture of the shaft of the femur,"A break in sub trochanter, supracondylar area of the shaft of the femur caused by strong direct trauma characterized by pain and swelling in thigh, excessive bleeding and shortening of leg",Siddha
1276,SBB3,முழங்கால் மூட்டுப்பகுதி காயங்கள்,Muẕaṅkāl Mūṭṭuppakuti Kāyaṅkaḷ,Injuries of the knee,-,Siddha
1277,SBB3.1,தொடை எலும்பு முண்டு முறிவுகள்,Toṭai Elumpu Muṇṭu Muṟivukaḷ,Fracture of femoral condyles,A break in femoral condyle caused by falling on valgus or varus or rotation leg position. It is characterized by pain and swelling around affected knee and flexion deformit,Siddha
1278,SBB3.2,சிரட்டை எலும்பு முறிவுகள்,Ciraṭṭai Elumpu Muṟivukaḷ,Fracture of the patella,"A break in the patella caused by direct injury and indirect trauma characterized by pain ans swelling around the knee, crepitus, difficulty in flexion and extension of knee",Siddha
1279,SBB3.3,சிரட்டை விலகல்,Ciraṭṭai Vilakal,Dislocation of patella,A dislocation of patella,Siddha
1280,SBB3.4,முழங்கால் முட்டு விலகல்,Muẕaṅkāl Muṭṭu Vilakal,Dislocation of knee,A dislocation of knee,Siddha
1281,SBB3.5,நளக எலும்பின் மேல்முனை முறிவுகள்,Naḷaka Elumpiṉ Mēlmuṉai Muṟivukaḷ,Proximal tibial fracture,"A break on proximal end of tibia caused by dashboard injury characterized by pain, swelling hemoarthrosis and restricted movements",Siddha
1282,SBB4,முழங்கால் காயங்கள்,Muẕaṅkāl Kāyaṅkaḷ,Injuries of the leg,-,Siddha
1283,SBB4.1,நள மற்றும் சர எலும்புத்தண்டு முறிவுகள்,Naḷa Maṟṟum Cara Elumputtaṇṭu Muṟivukaḷ,Fractures of shaft of tibia and fibula,A break in the shaft of tibia and fibula.,Siddha
1284,SBB5,கணுக்கால் காயங்கள்,Kaṇukkāl Kāyaṅkaḷ,Injuries of Ankle,-,Siddha
1285,SBB5.1,நள எலும்பு கீழ்முனை முறிவுகள்,Naḷa Elumpu Kīẕmuṉai Muṟivukaḷ,Distal tibial fracture,"A break in distal end of tibial fracture caused by falling from high altitude producing axial or vertical compression characterized by pain, swelling of the affected site and difficulty to stand.",Siddha
1286,SBB5.2,கணுக்கால் முறிவுகள்,Kaṇukkāl Muṟivukaḷ,Ankle fractures,"A break in bones associated with ankle joint caused by adduction, inversion, abduction, eversion and vertical compression characterised by pain and swelling and tenderness.",Siddha
1287,SBB6,பாத காயங்கள்,Pāta Kāyaṅkaḷ,injuries of the foot,-,Siddha
1288,SBB6.1,கனவி எலும்பு முறிவு,Kaṉavi Elumpu Muṟivu,Fracture of cuboid bone,A break in cuboid bone,Siddha
1289,SBB6.2,நவ்வி எலும்பு முறிவு,Navvi Elumpu Muṟivu,Fracture of navicular bone,A break in navicular bone,Siddha
1290,SBB6.3,கீலவி எலும்பு முறிவு,Kīlavi Elumpu Muṟivu,Fracture of cuneiform bone,A break in cuneiform bone,Siddha
1291,SBB6.4,படங்கால் எலும்பு முறிவு,Paṭaṅkāl Elumpu Muṟivu,Fracture of metatarsal bone,"A break in head, neck and shaft of metatarsal bone",Siddha
1292,SBB6.5,விரல் எலும்பு முறிவு,Viral Elumpu Muṟivu,Fracture of phalanges,A break in phalanges,Siddha
1293,SBC,அச்சு எலும்பு காயங்கள்,Accu Elumpu Kāyaṅkaḷ,injuries of Axial skeleton,-,Siddha
1294,SBC1,நட்டெல்லு காயங்கள்,Naṭṭellu Kāyaṅkaḷ,injuries of Spine,-,Siddha
1295,SBC1.1,கழுத்து நட்டெல்லு காயங்கள்,Kaẕuttu Naṭṭellu Kāyaṅkaḷ,injuries of cervical spine,A break in cervical spine,Siddha
1296,SBC2,மார்பு மற்றும் இடுப்பு நட்டெல்லு காயங்கள்,Mārpu Maṟṟum Iṭuppu Naṭṭellu Kāyaṅkaḷ,injuries of Thoracic and Lumbar spine,-,Siddha
1297,SBC2.1,முதுகு நட்டெல்லு முறிவு,Mutuku Naṭṭellu Muṟivu,fracture of thoracic spine,A break in the thoracic spine,Siddha
1298,SBC2.2,கூகை எலும்பு முறிவு,Kūkai Elumpu Muṟivu,Fracture of thoracic spine T5-T6,A break in T5-T6 thoracic spine,Siddha
1299,SBC2.3,திலை எலும்பு முறிவு,Tilai Elumpu Muṟivu,Fracture of upper thoracic spine,A break in the upper thoraic spines,Siddha
1300,SBC2.4,எழுந்தயிரு முள்ளெலும்பு காயம்,Eẕuntayiru Muḷḷelumpu Kāyam,Fracture of T12 spine,A break in T12 spine,Siddha
1301,SBC2.5,தாரை எலும்பு முறிவு,Tārai Elumpu Muṟivu,Fracture of the lumbar spine,A break in Lumbar spine,Siddha
1302,SBC2.6,புத்தெலும்பு முறிவு,Puttelumpu Muṟivu,Fracture of transverse process,A break in transverse process of spine,Siddha
1303,SBC3,கூபக காயங்கள்,Kūpaka Kāyaṅkaḷ,injuries of the Pelvis,-,Siddha
1304,SBC3.1,இடுப்புக்குழி முறிவுகள்,Iṭuppukkuẕi Muṟivukaḷ,Fracture of acetabulum,A break in the acetabulum of hip,Siddha
1305,SBC3.2,மூணார முறிவுகள்,Mūṇāra Muṟivukaḷ,Fracture of Sacrum,A break in the sacrum,Siddha
1306,SBC3.3,குழிப்பூட்டு தள்ளெலும்பு முறிவுகள்,Kuẕippūṭṭu Taḷḷelumpu Muṟivukaḷ,Fracture of the coccyx,A break in the coccyx,Siddha
1307,SBC3.4,வாரி எலும்பு காயங்கள்,Vāri Elumpu Kāyaṅkaḷ,injuries of the ribs,-,Siddha
1308,SBC3.5,பூணெலும்பின் மேலெலும்பு முறிவு,Pūṇelumpiṉ Mēlelumpu Muṟivu,fracture of the upper thoracic T1-T7 costovertebral joint,A break in upper thoracic costovertebral joints,Siddha
1309,SBC4,நெஞ்செலும்பு காயங்கள்,Neñcelumpu Kāyaṅkaḷ,injuries of the sternum,-,Siddha
1310,SBC4.1,துடி எலும்பு முறிவு,Tuṭi Elumpu Muṟivu,fracture of the manubrium of sternum,A break in manubrium of sternum,Siddha
1311,SBD,தலைக் காயங்கள்,Talaik Kāyaṅkaḷ,Head Injuries,-,Siddha
1312,SBD1.1,கபால முறிவுகள்,Kapāla Muṟivukaḷ,Skull fractures,A break in bones of skull,Siddha
1313,SBD1.2,மூக்கு எலும்பு முறிவு,Mūkku Elumpu Muṟivu,Nasal bone fracture,A break in nasal bone,Siddha
1314,T,குழந்தை நோய்கள்,Kuẕantai Nōykaḷ,Paediatric disorders,-,Siddha
1315,TA,பாலகரப்பான்,Pāla Karappāṉ,Eczema of Children,-,Siddha
1316,TAA,வளி,Vaḷi,-,-,Siddha
1317,TAA1.1,பாலகரப்பான் - வாதகரப்பான்,Pāla Karappāṉ - Vāta Karappāṉ,Eczema of children caused due to vali,"It is characterized by pain in the joints, utricaria, oozing, and emaciation. It may be explained by increased Aẕal kutram due to consumption of food substances causing allergy which is the root cause of the disease followed by increased vali kutram. Amo",Siddha
1318,TAA1.2,பாலகரப்பான் - அரி கரப்பான்,Pāla Karappāṉ - Ari Karappāṉ,Eczema of children with severe and cancerous growth causing disfigurement.,"It is characterized by cancerous growth in sex organs, itching, non-healing ulcers all over the body. It may be explained by increased Aẕal kutram due to consumption of food substances causing allergy which is the root cause of the disease. Among Uṭaṟtātu",Siddha
1319,TAA1.3,பாலகரப்பான் - ஊது கரப்பான்,Pāla Karappāṉ - Ūtu Karappāṉ,Eczema of children with oedema,"It is characterized by eczema, fever with rigor, boils all over the body, anasarca, and ulcers in the nose. It may be explained by increased Aẕal kutram due to consumption of food substances causing allergy which is the root cause of the disease followed",Siddha
1320,TAA1.4,பாலகரப்பான் - சூலை கரப்பான்,Pāla Karappāṉ - Cūlai Karappāṉ,Eczema of children with pricking pain,"It is characterized by eczema in children with fissures in the affected areas, joint pain, inability to use the joints and toxemic face. It may be explained by increased Aẕal kuttram due to consumption of food substances causing allergy which is the root",Siddha
1321,TAA1.5,பாலகரப்பான் - வெடி கரப்பான்,Pāla Karappāṉ - Veṭi Karappāṉ,Eczema of children with fissure,"It is characterized by eczema in children with, oedema, pain in joints, fissures in the affected areas, fever, headache, inability to use the joints and pruritus. It may be explained by increased Aẕal kutram due to consumption of food substances causing a",Siddha
1322,TAA1.6,பாலகரப்பான் - மண்டை கரப்பான்,Pāla Karappāṉ - Maṇṭai Karappāṉ,Eczema of Scalp,"It is characterized by itchy scalp with pustular lesions in the scalp, ear infections leading to rhinitis, fever and emaciation. It is explained by increase in Aẕal kutram due to consumption of food substances causing allergy which is the root cause of th",Siddha
1323,TAA1.7,பாலகரப்பான் - சட்டை கரப்பான்,Pāla Karappāṉ - Caṭṭai Karappāṉ,Eczema of children with joint pain,"It is characterized by eczema in children which slowly branches all over the body, joint pain, fissures in the affected areas, fever, headache, loss of appetite and constipation. It may be explained by increased Aẕal kuttram due to consumption of food sub",Siddha
1324,TAA1.8,பாலகரப்பான் - ஓடு கரப்பான்,Pāla Karappāṉ - Oṭu Karappāṉ,Eczema of children with joint pain,"It is characterized by eczema in children with slowly branching all over the body, joint pain, fissures in the affected areas fever, headache, loss of appetite and constipation. It may be explained by increased Aẕal kutram due to consumption of food subs",Siddha
1325,TAA1.9,பாலகரப்பான் - கருங்கரப்பான்,Pāla Karappāṉ - Karuṅ Karappāṉ,Eczema of children with blackish discoloration,"It is characterized by increased body heat, fever, loss of appetite, lichenification, toxeamic look. It may be explained by increased Aẕal kuttram due to consumption of food substances causing allergy which is the root cause of the disease followed by inc",Siddha
1326,TAA1.10,பாலகரப்பான் - வாழை கரப்பான்,Pāla Karappāṉ - Vālai Karappāṉ,Eczema of children with fissures in the joint,"It is characterized pain in the joints, utricaria, oozing, emaciation. It may be explained by increased Aẕal kutram due to consumption of food substances causing allergy which is the root cause of the disease followed by increased vali kutram. Among Uṭaṟt",Siddha
1327,TAA1.11,பாலகரப்பான் - வரல் கரப்பான்,Pāla Karappāṉ - Vaṟaḷ Karappāṉ,Eczema of children with vesicles and small boils,"It is characterised by vesiculation and oozing from head to foot, fissuring and insomnia. It may be explained by increased Aẕal kutram due to consumption of food substances causing allergy which is the root cause of the disease followed by increased vali",Siddha
1328,TAB,அழல்,Aẕal,Eczema of children classified under Azhal,-,Siddha
1329,TAB1.1,பாலகரப்பான் - அழல் கரப்பான்,Pāla Karappāṉ - Pitta Karappāṉ,Eczema of children caused due to increased azhal,"It is characterised by vomiting, reddish discolouration of the body with itching, head ache, fever, haematuria and constipation. It may be explained by increased Aẕal followed by aiya kutram. Among Uṭaṟtātukkaḷ Cāram, Cennīr, and Ūṉ are affected.",Siddha
1330,TAB1.2,பாலகரப்பான் - பொறி கரப்பான்,Pāla Karappāṉ - Pori Karappāṉ,Eczema of children with redness all over the body,"It is characterized by reddish lesions in the body, increasing in size day by day and fissuring, burning sensation in the fissures, thirst and loss of orientation. It may be explained by increased Aẕal kutram due to consumption of food substances causing",Siddha
1331,TAB1.3,பாலகரப்பான் - செங்கரப்பான்,Pāla Karappāṉ - Ceṅkarappāṉ,Eczema of children with redness all over body,"It is characterised by fever, oedema, prickly heat like vesicles, redness and lichenification. It may be explained by increased Aẕal kutram due to consumption of food substances causing allergy which is the root cause of the disease followed by increased",Siddha
1332,TAB1.4,பாலகரப்பான் - கொள்ளி கரப்பான்,Pāla Karappāṉ - Koḷḷi Karappāṉ,Eczema of children with severe emaciation and loss of any intake.,"It is a characterised by eczema with emaciation, hoarseness of voice, hiccup, and it is rare to get treated. It may be explained by increased Aẕal kutram due to consumption of food substances causing allergy which is the root cause of the disease followe",Siddha
1333,TAC,ஐயம்,Aiyam,Eczema of children classified under aiyam,-,Siddha
1334,TAC1.1,பாலகரப்பான் - ஐய கரப்பான்,Pāla Karappāṉ - Aiya Karappāṉ,Eczema caused due to increased aiyam,"It is characterized by difficulty in speech, headache, ulcers in the mouth, salivation and pain along with eczema of body. It may be explained by increase in Aẕal kutram due to consumption of food substances causing allergy which is the root cause of the",Siddha
